rank,pozo_id,empresa_grupo,formacion,petroleo_total_m3,gas_total_mm3,boe_acumulado,meses_activo,primer_mes,ultimo_mes
188,162595,Tecpetrol,VACA MUERTA,29195.116450999998,255625.004364,1504792415.0,59,2021-08-01,2026-06-01
189,162708,YPF,VACA MUERTA,39.1,255464.21,1503662588.0,57,2021-10-01,2026-06-01
190,159329,Pan American Energy,VACA MUERTA,0.0,255217.045873,1502207532.0,97,2018-05-01,2026-05-01
191,159707,YPF,VACA MUERTA,243.95,255000.99,1500937362.0,95,2018-07-01,2026-06-01
192,164071,Pan American Energy,VACA MUERTA,0.0,254948.0613,1500624292.0,40,2023-02-01,2026-05-01
193,164052,Tecpetrol,VACA MUERTA,4776.3367,254637.80281,1498828149.0,41,2023-02-01,2026-06-01
194,160578,Tecpetrol,VACA MUERTA,5633.938996,254379.9378,1497315749.0,85,2019-06-01,2026-06-01
195,164234,Pluspetrol,VACA MUERTA,11027.469,253472.525,1492008643.0,38,2023-05-01,2026-06-01
196,159460,TotalEnergies,VACA MUERTA,0.0,252917.832,1488674362.0,98,2018-05-01,2026-06-01
197,160207,Tecpetrol,VACA MUERTA,5502.568032,252062.87013,1483676663.0,89,2019-02-01,2026-06-01
198,164717,Pampa Energía,VACA MUERTA,0.0,251906.115,1482719389.0,32,2023-10-01,2026-05-01
199,159404,Tecpetrol,VACA MUERTA,22321.039429,251542.86608,1480721708.0,97,2018-06-01,2026-06-01
200,159705,YPF,VACA MUERTA,556.84,250435.8,1474068622.0,96,2018-06-01,2026-06-01
